,y_train,y_train_pred,y_dev,y_dev_pred,y_test,y_test_pred
2016-08-08,144.0,136.70927969874143,,,,
2016-08-09,137.0,135.19564662442355,,,,
2016-08-10,123.0,128.2594104032908,,,,
2016-08-11,104.0,124.45680650973107,,,,
2016-08-12,161.0,150.71564088165456,,,,
2016-08-13,100.0,115.47730554822076,,,,
2016-08-14,125.0,130.6916041532041,,,,
2016-08-15,116.0,139.06955398427903,,,,
2016-08-16,147.0,131.8224813691796,,,,
2016-08-17,135.0,123.01467459545268,,,,
2016-08-18,135.0,118.02798184714112,,,,
2016-08-19,156.0,156.65090305199269,,,,
2016-08-20,112.0,123.82353507666402,,,,
2016-08-21,128.0,129.83617061964605,,,,
2016-08-22,147.0,136.83952767364448,,,,
2016-08-23,147.0,135.75502950017614,,,,
2016-08-24,132.0,127.82023797483153,,,,
2016-08-25,145.0,127.77972726937115,,,,
2016-08-26,160.0,160.50905732025223,,,,
2016-08-27,113.0,115.81981688946595,,,,
2016-08-28,119.0,128.8942566714794,,,,
2016-08-29,151.0,138.88782706976167,,,,
2016-08-30,135.0,141.57808870255172,,,,
2016-08-31,129.0,125.49048797518871,,,,
2016-09-01,116.0,122.74934713512894,,,,
2016-09-02,161.0,150.55354471334851,,,,
2016-09-03,111.0,117.4889450190075,,,,
2016-09-04,130.0,131.12778796830582,,,,
2016-09-05,126.0,141.18269284737886,,,,
2016-09-06,140.0,134.72750952572662,,,,
2016-09-07,145.0,128.3977714195764,,,,
2016-09-08,137.0,127.29697067881244,,,,
2016-09-09,164.0,160.14987124432838,,,,
2016-09-10,116.0,120.9597779625524,,,,
2016-09-11,160.0,127.3655782736543,,,,
2016-09-12,138.0,142.82811241798615,,,,
2016-09-13,146.0,142.09393594674398,,,,
2016-09-14,146.0,135.055110542681,,,,
2016-09-15,122.0,130.90676824608332,,,,
2016-09-16,155.0,155.9634432123889,,,,
2016-09-17,86.0,112.93414611319727,,,,
2016-09-18,129.0,127.5665074977788,,,,
2016-09-19,125.0,142.9045676861877,,,,
2016-09-20,151.0,137.34810367161336,,,,
2016-09-21,125.0,127.76661563342536,,,,
2016-09-22,110.0,120.890144624043,,,,
2016-09-23,156.0,153.27110356782822,,,,
2016-09-24,113.0,116.8715785995736,,,,
2016-09-25,122.0,133.50954606338294,,,,
2016-09-26,126.0,136.8037858466603,,,,
2016-09-27,145.0,135.68121387946584,,,,
2016-09-28,128.0,129.9002789399816,,,,
2016-09-29,129.0,125.55242829032946,,,,
2016-09-30,156.0,156.0492721640753,,,,
2016-10-01,106.0,117.59551611424254,,,,
2016-10-02,111.0,126.53360205300545,,,,
2016-10-03,122.0,135.19454660495293,,,,
2016-10-04,134.0,136.93310480696613,,,,
2016-10-05,123.0,126.45336163212127,,,,
2016-10-06,102.0,119.19286454228845,,,,
2016-10-07,151.0,148.82258796806673,,,,
2016-10-08,120.0,108.81316484106168,,,,
2016-10-09,120.0,128.40996781618745,,,,
2016-10-10,133.0,135.6163562991791,,,,
2016-10-11,101.0,136.97578965136,,,,
2016-10-12,119.0,119.37521941017721,,,,
2016-10-13,99.0,118.4570883995996,,,,
2016-10-14,149.0,146.66566061744703,,,,
2016-10-15,119.0,110.57278001140934,,,,
2016-10-16,114.0,124.35681079483265,,,,
2016-10-17,116.0,131.8570070324878,,,,
2016-10-18,141.0,128.80045143374096,,,,
2016-10-19,131.0,125.49843982559507,,,,
2016-10-20,127.0,120.47357322511402,,,,
2016-10-21,156.0,152.28627930479684,,,,
2016-10-22,116.0,113.22626270896518,,,,
2016-10-23,142.0,124.95435354282448,,,,
2016-10-24,121.0,134.9421051120236,,,,
2016-10-25,100.0,135.24977030442676,,,,
2016-10-26,115.0,119.30163072053062,,,,
2016-10-27,110.0,114.38366589547843,,,,
2016-10-28,176.0,146.58866939786088,,,,
2016-10-29,112.0,110.65396444562909,,,,
2016-10-30,106.0,124.97037587828366,,,,
2016-10-31,117.0,130.80300408113624,,,,
2016-11-01,91.0,126.48785455650025,,,,
2016-11-02,121.0,112.72401065102119,,,,
2016-11-03,110.0,113.28437787387432,,,,
2016-11-04,179.0,150.83656530716948,,,,
2016-11-05,98.0,117.68516631368732,,,,
2016-11-06,122.0,121.31459398724797,,,,
2016-11-07,121.0,127.91839351506309,,,,
2016-11-08,151.0,125.43831070708676,,,,
2016-11-09,107.0,125.45026717450978,,,,
2016-11-10,124.0,118.67932794256613,,,,
2016-11-11,150.0,151.84018722576542,,,,
2016-11-12,110.0,108.67128285693818,,,,
2016-11-13,119.0,120.00113683028133,,,,
2016-11-14,140.0,127.22715557457798,,,,
2016-11-15,128.0,131.57139700990206,,,,
2016-11-16,125.0,119.57328864001319,,,,
2016-11-17,108.0,113.56908510053104,,,,
2016-11-18,173.0,153.57242866813033,,,,
2016-11-19,130.0,115.2708221911913,,,,
2016-11-20,151.0,128.8656502896225,,,,
2016-11-21,135.0,131.3838490929199,,,,
2016-11-22,122.0,127.00902549167918,,,,
2016-11-23,119.0,120.25577003777391,,,,
2016-11-24,147.0,124.39088325516828,,,,
2016-11-25,159.0,163.58954943938573,,,,
2016-11-26,129.0,116.33437761324244,,,,
2016-11-27,109.0,122.46868285802496,,,,
2016-11-28,136.0,126.71813118044754,,,,
2016-11-29,144.0,133.16719234378502,,,,
2016-11-30,142.0,129.92947599302394,,,,
2016-12-01,122.0,128.42614277516267,,,,
2016-12-02,140.0,153.24985896538163,,,,
2016-12-03,119.0,109.29084852112865,,,,
2016-12-04,107.0,125.60172258970607,,,,
2016-12-05,116.0,133.05168943270917,,,,
2016-12-06,145.0,133.6038634565685,,,,
2016-12-07,109.0,124.33696000949915,,,,
2016-12-08,119.0,111.13841639294759,,,,
2016-12-09,158.0,151.8956364081324,,,,
2016-12-10,124.0,113.45179216847247,,,,
2016-12-11,155.0,131.96304996084945,,,,
2016-12-12,125.0,137.42933605036885,,,,
2016-12-13,102.0,132.11438455692712,,,,
2016-12-14,122.0,117.37342360820833,,,,
2016-12-15,103.0,121.54052334066158,,,,
2016-12-16,151.0,153.25265408816165,,,,
2016-12-17,121.0,116.412214260716,,,,
2016-12-18,143.0,122.985809095151,,,,
2016-12-19,121.0,132.24848347099342,,,,
2016-12-20,111.0,128.3693296300891,,,,
2016-12-21,128.0,121.7670863839271,,,,
2016-12-22,101.0,119.86348357189662,,,,
2016-12-23,127.0,150.37656480303102,,,,
2016-12-24,80.0,106.21457209627333,,,,
2016-12-25,109.0,117.50554192144136,,,,
2016-12-26,111.0,125.52304535320633,,,,
2016-12-27,127.0,124.83582953827444,,,,
2016-12-28,146.0,116.87421596518178,,,,
2016-12-29,119.0,116.31375602979101,,,,
2016-12-30,158.0,150.82972215454595,,,,
2016-12-31,115.0,112.8131939908829,,,,
2017-01-01,151.0,127.43423629496819,,,,
2017-01-02,153.0,133.72957096398642,,,,
2017-01-03,131.0,132.9160175010445,,,,
2017-01-04,127.0,124.12712410008012,,,,
2017-01-05,100.0,117.83945716421385,,,,
2017-01-06,141.0,150.75411665177018,,,,
2017-01-07,114.0,112.55516005775834,,,,
2017-01-08,119.0,124.89394937098218,,,,
2017-01-09,135.0,127.88360721727288,,,,
2017-01-10,112.0,127.91643213622163,,,,
2017-01-11,108.0,115.13888840548347,,,,
2017-01-12,118.0,112.0012615968117,,,,
2017-01-13,172.0,148.55737923807118,,,,
2017-01-14,120.0,115.92099194842777,,,,
2017-01-15,119.0,125.60961519649729,,,,
2017-01-16,169.0,130.49653767549842,,,,
2017-01-17,133.0,136.3059633645566,,,,
2017-01-18,108.0,127.84595248367805,,,,
2017-01-19,121.0,117.11582533320606,,,,
2017-01-20,161.0,154.07268379756613,,,,
2017-01-21,131.0,110.73788487163895,,,,
2017-01-22,101.0,127.28467035204032,,,,
2017-01-23,137.0,129.10624731463943,,,,
2017-01-24,137.0,135.0206473215131,,,,
2017-01-25,126.0,123.21439747764205,,,,
2017-01-26,133.0,115.51707036497653,,,,
