date,y_train_xgboost,y_train_pred_xgboost,y_dev_xgboost,y_dev_pred_xgboost,y_test_xgboost,y_test_pred_xgboost,y_train_arima,y_train_pred_arima,y_dev_arima,y_dev_pred_arima,y_test_arima,y_test_pred_arima
2015-07-02,125.0,126.38236,,,,,125.0,126.38236,,,,
2015-07-03,143.0,152.96306,,,,,143.0,152.96306,,,,
2015-07-04,115.0,117.48538,,,,,115.0,117.48538,,,,
2015-07-05,110.0,136.71935,,,,,110.0,136.71935,,,,
2015-07-06,173.0,154.05199,,,,,173.0,154.05199,,,,
2015-07-07,149.0,143.31914,,,,,149.0,143.31914,,,,
2015-07-08,137.0,136.48161,,,,,137.0,136.48161,,,,
2015-07-09,119.0,121.955986,,,,,119.0,121.955986,,,,
2015-07-10,171.0,159.96417,,,,,171.0,159.96417,,,,
2015-07-11,98.0,119.36995,,,,,98.0,119.36995,,,,
2015-07-12,142.0,137.9603,,,,,142.0,137.9603,,,,
2015-07-13,156.0,149.81917,,,,,156.0,149.81917,,,,
2015-07-14,147.0,138.94424,,,,,147.0,138.94424,,,,
2015-07-15,131.0,128.14404,,,,,131.0,128.14404,,,,
2015-07-16,121.0,124.563614,,,,,121.0,124.563614,,,,
2015-07-17,136.0,152.76422,,,,,136.0,152.76422,,,,
2015-07-18,128.0,126.2074,,,,,128.0,126.2074,,,,
2015-07-19,140.0,139.21716,,,,,140.0,139.21716,,,,
2015-07-20,170.0,153.20096,,,,,170.0,153.20096,,,,
2015-07-21,117.0,134.8708,,,,,117.0,134.8708,,,,
2015-07-22,127.0,131.1983,,,,,127.0,131.1983,,,,
2015-07-23,122.0,122.11494,,,,,122.0,122.11494,,,,
2015-07-24,148.0,153.7006,,,,,148.0,153.7006,,,,
2015-07-25,117.0,114.06971,,,,,117.0,114.06971,,,,
2015-07-26,139.0,136.52634,,,,,139.0,136.52634,,,,
2015-07-27,155.0,152.79214,,,,,155.0,152.79214,,,,
2015-07-28,129.0,137.47989,,,,,129.0,137.47989,,,,
2015-07-29,139.0,133.68816,,,,,139.0,133.68816,,,,
2015-07-30,127.0,120.0742,,,,,127.0,120.0742,,,,
2015-07-31,148.0,147.4411,,,,,148.0,147.4411,,,,
2015-08-01,127.0,118.2806,,,,,127.0,118.2806,,,,
2015-08-02,116.0,132.62495,,,,,116.0,132.62495,,,,
2015-08-03,145.0,152.63739,,,,,145.0,152.63739,,,,
2015-08-04,155.0,141.32916,,,,,155.0,141.32916,,,,
2015-08-05,119.0,136.57835,,,,,119.0,136.57835,,,,
2015-08-06,103.0,121.90572,,,,,103.0,121.90572,,,,
2015-08-07,143.0,148.87973,,,,,143.0,148.87973,,,,
2015-08-08,121.0,121.690125,,,,,121.0,121.690125,,,,
2015-08-09,136.0,135.88765,,,,,136.0,135.88765,,,,
